Depth ID Strategy Param SolutionLength Visited Processed Depth Time
4 14 dfs ludr -1 179506 179506 20 5.885 
4 14 dfs lurd -1 291102 291102 20 10.176 
4 14 dfs rdlu -1 329285 329285 20 10.623 
4 14 dfs rdul -1 199456 199456 20 6.619 
4 14 dfs uldr -1 291102 291102 20 10.112 
4 14 dfs ulrd -1 179506 179506 20 6.108 
4 15 astr hamm 4 12 5 4 0.001 
4 15 astr manh 4 12 5 4 0.001 
4 15 bfs drlu 4 78 35 0 0.003 
4 15 bfs drul 4 90 40 0 0.003 
4 15 bfs ludr 4 84 39 0 0.003 
4 15 bfs lurd 4 87 41 0 0.003 
4 15 bfs rdlu 4 81 37 0 0.003 
4 15 bfs rdul 4 93 42 0 0.003 
4 15 bfs uldr 4 96 44 0 0.003 
4 15 bfs ulrd 4 99 46 0 0.004 
4 15 dfs drlu 16 96989 96973 20 3.265 
4 15 dfs drul 4 205132 205129 20 9.691 
4 15 dfs ludr 4 166648 166645 20 5.266 
4 15 dfs lurd 4 165840 165838 20 5.527 
4 15 dfs rdlu 16 104472 104459 20 3.312 
4 15 dfs rdul -1 259908 259908 20 8.773 
4 15 dfs uldr -1 212046 212046 20 12.258 
4 15 dfs ulrd -1 297538 297538 20 9.957 
4 16 astr hamm 4 13 5 4 0.001 
4 16 astr manh 4 13 5 4 0.001 
